"Date","Price","Open","High","Low","Change %"
"Jan 20, 2021","35,463.3","35,921.8","35,921.8","34,417.4","-1.27%"
"Jan 19, 2021","35,918.2","36,630.6","37,600.9","35,918.2","-1.94%"
"Jan 18, 2021","36,630.6","35,810.2","36,845.1","35,080.8","2.25%"
"Jan 17, 2021","35,825.3","36,014.4","36,629.3","34,640.8","-0.52%"
"Jan 16, 2021","36,014.4","36,763.3","37,882.5","36,014.4","-2.04%"
"Jan 15, 2021","36,763.3","39,178.4","39,211.8","35,889.8","-6.16%"
"Jan 14, 2021","39,178.4","37,356.1","39,705.0","37,356.1","4.88%"
"Jan 13, 2021","37,356.1","34,068.9","37,356.1","32,476.4","9.65%"
"Jan 12, 2021","34,068.9","35,367.3","36,062.9","33,618.2","-3.67%"
"Jan 11, 2021","35,367.3","38,173.8","38,173.8","30,651.6","-7.37%"
"Jan 10, 2021","38,181.5","40,093.5","40,968.0","38,181.5","-4.77%"
"Jan 09, 2021","40,093.5","40,573.4","41,125.0","39,449.1","-1.18%"
"Jan 08, 2021","40,573.4","39,429.5","41,226.2","37,951.6","2.90%"
"Jan 07, 2021","39,429.5","36,716.5","39,429.5","36,716.5","7.39%"
"Jan 06, 2021","36,716.5","33,942.1","36,716.5","33,808.0","8.17%"
"Jan 05, 2021","33,942.1","32,000.0","33,942.1","30,940.8","6.14%"
"Jan 04, 2021","31,977.3","33,015.3","33,225.9","30,246.4","-3.14%"
"Jan 03, 2021","33,015.3","32,196.7","34,270.2","32,196.7","2.54%"
"Jan 02, 2021","32,196.7","29,315.9","32,900.0","29,148.0","9.83%"
"Jan 01, 2021","29,315.9","28,959.1","29,328.2","28,959.1","1.23%"
"Dec 31, 2020","28,959.1","28,856.9","29,129.6","28,400.0","0.35%"
"Dec 30, 2020","28,856.9","27,390.0","28,856.9","27,390.0","5.36%"
"Dec 29, 2020","27,390.0","27,081.9","27,390.0","26,173.3","1.14%"
"Dec 28, 2020","27,081.9","26,272.1","27,365.5","26,272.1","3.08%"
"Dec 27, 2020","26,272.1","26,484.9","28,177.5","26,168.6","-0.76%"
"Dec 26, 2020","26,472.5","24,718.2","26,472.5","24,610.7","7.10%"
"Dec 25, 2020","24,718.2","23,729.4","24,718.2","23,545.6","4.17%"
"Dec 24, 2020","23,729.4","23,228.1","23,729.4","22,912.0","2.16%"
"Dec 23, 2020","23,228.1","23,830.0","23,830.0","23,228.1","-2.53%"
"Dec 22, 2020","23,830.0","22,750.4","23,830.0","22,626.8","4.75%"
"Dec 21, 2020","22,750.4","23,501.7","23,980.8","22,637.5","-3.20%"
"Dec 20, 2020","23,501.7","23,835.4","23,835.4","23,428.6","-1.40%"
"Dec 19, 2020","23,835.4","23,098.3","23,886.0","22,890.7","3.19%"
"Dec 18, 2020","23,098.3","22,792.0","23,233.5","22,450.0","1.25%"
"Dec 17, 2020","22,812.2","21,340.1","23,529.5","21,340.1","6.90%"
"Dec 16, 2020","21,340.1","19,421.4","21,340.1","19,348.0","9.88%"
"Dec 15, 2020","19,421.4","19,272.8","19,495.6","19,135.4","0.77%"
"Dec 14, 2020","19,272.8","19,165.3","19,272.8","19,073.8","0.56%"
"Dec 13, 2020","19,165.3","18,786.8","19,336.8","18,750.3","2.01%"
"Dec 12, 2020","18,786.8","18,028.2","18,823.0","18,028.2","4.21%"
"Dec 11, 2020","18,028.2","18,240.3","18,240.3","17,784.3","-1.19%"
"Dec 10, 2020","18,245.1","18,543.8","18,543.8","18,164.8","-1.61%"
"Dec 09, 2020","18,543.8","18,328.6","18,543.8","17,975.3","1.17%"
"Dec 08, 2020","18,328.6","19,172.7","19,209.2","18,328.6","-4.40%"
"Dec 07, 2020","19,172.7","19,359.4","19,359.4","19,017.3","-0.96%"
"Dec 06, 2020","19,359.4","19,140.6","19,359.4","19,055.0","1.14%"
"Dec 05, 2020","19,140.6","18,653.2","19,140.6","18,606.9","2.61%"
"Dec 04, 2020","18,653.2","19,418.3","19,418.3","18,653.2","-3.94%"
"Dec 03, 2020","19,418.3","19,201.4","19,422.2","18,961.2","1.06%"
"Dec 02, 2020","19,214.4","18,782.1","19,214.4","18,509.9","2.30%"
"Dec 01, 2020","18,782.1","19,667.3","19,667.3","18,782.1","-4.50%"
"Nov 30, 2020","19,667.3","18,182.3","19,667.3","18,182.3","8.17%"
"Nov 29, 2020","18,182.3","17,718.8","18,192.7","17,608.8","2.60%"
"Nov 28, 2020","17,720.8","17,135.0","17,801.7","16,900.8","3.42%"
"Nov 27, 2020","17,135.0","17,166.8","17,366.1","16,645.3","-0.19%"
"Nov 26, 2020","17,166.8","18,718.8","18,718.8","16,549.6","-8.29%"
"Nov 25, 2020","18,718.8","19,153.1","19,220.2","18,718.8","-2.27%"
"Nov 24, 2020","19,153.1","18,380.6","19,381.2","18,221.0","4.20%"
"Nov 23, 2020","18,380.6","18,435.4","18,700.7","18,266.7","-0.30%"
"Nov 22, 2020","18,435.4","18,699.9","18,699.9","18,083.4","-1.41%"
"Nov 21, 2020","18,699.9","18,662.5","18,771.6","18,517.7","0.20%"
